rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/value_loss
90.44,17,726,191,139264,0.44954025999999997,240,-1.6882670622939864,1e-05,-0.01543819199699404,0.1,0.0035800426,0.33398014307022095,-0.032325319945812225,0.16319986979166667,0.0013784481758193578
94.81,18,770,191,147456,0.44021818,255,-1.6567119802037875,1e-05,-0.013892889055326426,0.1,0.0032242315,0.33983904123306274,-0.01602383889257908,0.14380696614583333,0.0015186761082986778
93.12,19,813,191,155648,0.4715558899999999,270,-1.6440903088698784,1e-05,-0.015693957940190253,0.1,0.0037417826,0.35254842042922974,-0.025815529748797417,0.16797688802083333,0.001399739832747097
95.4,20,857,191,163840,0.51727428,285,-1.611185422167182,1e-05,-0.01636268073489191,0.1,0.0039823228,0.3858368992805481,-0.017330046743154526,0.179541015625,0.0014633238838541729
95.77,21,903,190,172032,0.53991056,300,-1.5798094018052022,1e-05,-0.01660325581857857,0.1,0.0039306567,0.33544057607650757,-0.02599158138036728,0.16725260416666668,0.001552861146713743
95.95,22,951,189,180224,0.56249251,315,-1.5553898951038718,1e-05,-0.017115260084392504,0.1,0.0037772874,0.37082332372665405,-0.02298508584499359,0.16732584635416667,0.0015614885070438808
106.97,23,999,188,188416,0.6109952399999999,330,-1.5359500581398606,1e-05,-0.018172624487488066,0.1,0.003980429,0.36392802000045776,-0.036000221967697144,0.18560384114583334,0.0016025585142415365
120.8,24,1048,187,196608,0.7111576399999998,345,-1.5188200230399767,1e-05,-0.01812838206703115,0.1,0.0042784438,0.364371657371521,-0.04121948406100273,0.18722330729166667,0.0015833978651850582
116.3,25,1095,187,204800,0.72855731,360,-1.492247049572567,1e-05,-0.01753383141743446,0.1,0.004039022,0.38365620374679565,-0.02682882361114025,0.1807861328125,0.0015871524467305183
108.73,26,1142,186,212992,0.70644407,375,-1.4552169081444541,1e-05,-0.019435740159921503,0.1,0.0045926226,0.3596042990684509,-0.027819421142339706,0.1908447265625,0.0017607416601398047
109.9,27,1190,185,221184,0.70900639,390,-1.4328851809104284,1e-05,-0.019060389490672,0.1,0.004990356,0.38083815574645996,-0.04221990704536438,0.20084635416666666,0.0016924783263978802
117.24,28,1237,185,229376,0.7580865800000001,405,-1.3997670419514179,1e-05,-0.019924865232557445,0.1,0.0046613226,0.41742509603500366,-0.038839079439640045,0.20464680989583334,0.0016650943836793886
121.78,29,1284,184,237568,0.79890279,420,-1.3893058955669404,1e-05,-0.02034872071162681,0.1,0.005351088,0.4190051555633545,-0.016458701342344284,0.2101806640625,0.0017183428134255033
115.9,30,1334,184,245760,0.8391083500000001,435,-1.3714976551011204,1e-05,-0.020614372485821757,0.1,0.005588622,0.4275131821632385,-0.029041584581136703,0.21209309895833334,0.0016947653586612433
119.5,31,1385,183,253952,0.8731446599999999,450,-1.3206213278075059,1e-05,-0.0210468676314728,0.1,0.0052874777,0.4452369213104248,-0.03386005386710167,0.22101236979166666,0.0017683831416131094
124.43,32,1435,182,262144,0.88166642,465,-1.3011821838716666,1e-05,-0.020855561707382245,0.1,0.005949125,0.44844555854797363,-0.032366830855607986,0.2123779296875,0.0017887172660872844
