time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate
13,83.16,0.247273,106496,189,561,0.0008611375405356132,0.005478099454194307,-1.8099134866148234,0.0024075967,-0.010037525929753125,0.1,0.498515784740448,180,0.10381673177083334,1e-05
14,76.44,0.2686619,114688,189,604,0.0008435709107288858,-0.017736610025167465,-1.8003742762530843,0.0028031466,-0.010940337631230554,0.1,0.5336535573005676,195,0.12552083333333333,1e-05
15,104.99,0.32140535,122880,189,648,0.0009430505631674653,-0.009413095191121101,-1.7745531395077705,0.0030117691,-0.012209434169684149,0.1,0.5289430320262909,210,0.12015787760416667,1e-05
16,98.44,0.30028559000000005,131072,189,692,0.0008507943896726525,-0.0187101811170578,-1.758769382039706,0.0030730956,-0.012842594874867549,0.1,0.530969113111496,225,0.13695475260416667,1e-05
17,98.86,0.3951576899999999,139264,189,735,0.0009137141030199321,-0.006602192297577858,-1.7307484023272992,0.0031364246,-0.013360323198624732,0.1,0.5434927046298981,240,0.14000651041666667,1e-05
18,111.28,0.4418553599999999,147456,189,779,0.0012039031820525756,-0.02907702326774597,-1.7047618887076774,0.0033392871,-0.014567148723290301,0.1,0.4554055333137512,255,0.14623209635416667,1e-05
19,84.06,0.42463085999999994,155648,189,823,0.0012001139742248293,-0.037000153213739395,-1.6739337467898925,0.0037827878,-0.01654992932647777,0.1,0.4449251890182495,270,0.17110188802083334,1e-05
20,91.89,0.46552343,163840,188,867,0.0013271878774806585,-0.024430204182863235,-1.6301389046013355,0.0035998276,-0.016232385264205125,0.1,0.4512384533882141,285,0.15587565104166667,1e-05
21,103.98,0.57112424,172032,188,911,0.0014352467726894246,-0.01875065453350544,-1.6048411058882872,0.0038394514,-0.0168639969463887,0.1,0.433022677898407,300,0.16575520833333332,1e-05
22,97.49,0.54809988,180224,188,954,0.0015283985407828975,-0.02112203650176525,-1.5690614332134525,0.0036055679,-0.017220787997090762,0.1,0.4018141031265259,315,0.17584635416666666,1e-05
23,103.67,0.61139419,188416,188,998,0.001565252867203526,-0.03402365744113922,-1.555227280035615,0.0037678627,-0.017773729593803484,0.1,0.41783344745635986,330,0.18573404947916666,1e-05
24,117.72,0.7171057300000001,196608,188,1042,0.0015496064516203963,-0.030132614076137543,-1.522876099559168,0.004049589,-0.019294910329335835,0.1,0.4526471495628357,345,0.19717610677083333,1e-05
25,131.08,0.8158860100000002,204800,188,1085,0.001642881737825519,-0.041514359414577484,-1.4868115505203605,0.003970452,-0.018932085379735022,0.1,0.4223373532295227,360,0.18563639322916667,1e-05
26,131.59,0.8448550399999999,212992,188,1129,0.001637121907818558,-0.024613123387098312,-1.4509711265563965,0.0044347886,-0.020446370335897277,0.1,0.4210854172706604,375,0.21114095052083334,1e-05
27,124.18,0.8790625899999999,221184,188,1173,0.0016550271879168577,-0.007819611579179764,-1.4138104842975736,0.004483573,-0.02002178578356203,0.1,0.426544725894928,390,0.20872395833333332,1e-05
28,126.06,0.93161103,229376,188,1216,0.0017806874813383426,-0.03345153480768204,-1.3612229278311134,0.004654154,-0.02065139149951089,0.1,0.44076526165008545,405,0.2015625,1e-05
29,130.56,0.95479837,237568,188,1260,0.0016693045109301844,-0.0376538448035717,-1.3366490377734104,0.0046652104,-0.020562108480468546,0.1,0.5003322958946228,420,0.20323893229166667,1e-05
30,122.7,0.9492590599999999,245760,188,1306,0.0016828830933870145,-0.031629014760255814,-1.2964953903108836,0.0043378007,-0.020963371145383766,0.1,0.4997495412826538,435,0.20558268229166668,1e-05
31,132.86,1.0128733900000002,253952,187,1352,0.001713012670794948,-0.032836928963661194,-1.2653645637134712,0.0044561727,-0.02029525553249793,0.1,0.49953174591064453,450,0.2105712890625,1e-05
32,125.12,1.02483823,262144,187,1399,0.0017205069816554897,-0.03857489302754402,-1.2493390643348297,0.005044626,-0.02280420750224342,0.1,0.5480150878429413,465,0.21765950520833333,1e-05
